question_text,correct_answer,answer_options,explanation,quiz_id
Which of the following is the correct syntax to declare a variable in C?,int a;,"[""int a;"", ""a int;"", ""integer a;"", ""int: a;""]","In C, variables are declared using the syntax 'int a;', where 'int' is the data type and 'a' is the variable name.",4
What is the size of an int data type in C?,4 bytes,"[""2 bytes"", ""4 bytes"", ""8 bytes"", ""16 bytes""]","The size of the int data type in C is 4 bytes, which is platform-dependent but most commonly 4 bytes.",4
Which of the following is used to terminate a loop in C?,break,"[""exit"", ""break"", ""stop"", ""return""]",The 'break' statement is used to terminate a loop immediately and transfer control to the statement following the loop.,4
What is the correct way to initialize an array in C?,"int arr[5] = {1, 2, 3, 4, 5};","[""int arr[] = {1, 2, 3, 4, 5};"", ""int arr[5] = {1, 2, 3, 4, 5};"", ""int arr[5] = (1, 2, 3, 4, 5);"", ""int arr(5) = {1, 2, 3, 4, 5};""]",The correct way to initialize an array in C is by specifying the size and initializing with values in curly braces.,4
Which operator is used to access the value at the address stored in a pointer variable in C?,*,"[""&"", ""*"", ""#"", ""@""]",The '*' operator is used to access the value stored at the address that a pointer variable points to.,4
"What does the ""sizeof"" operator do in C?","Returns the size, in bytes, of a data type","[""Returns the size, in bytes, of a data type"", ""Returns the length of a string"", ""Returns the number of elements in an array"", ""Returns the value of a pointer""]",The 'sizeof' operator returns the size in bytes of a data type or variable.,4
Which keyword is used to prevent any changes to a variable in C?,const,"[""final"", ""const"", ""static"", ""volatile""]",The 'const' keyword is used to declare variables whose value cannot be changed after initialization.,4
Which function is used to output a string to the screen in C?,printf(),"[""scanf()"", ""gets()"", ""printf()"", ""puts()""]",The 'printf()' function is used to output a string and other data to the screen.,4
What is the default value of a static local variable in C?,0,"[""0"", ""1"", ""Null"", ""Undefined""]",The default value of a static local variable in C is 0.,4
Which of the following is the correct way to declare a pointer to an integer in C?,int *ptr;,"[""int ptr;"", ""int *ptr;"", ""int ptr*;"", ""int * ptr;""]","To declare a pointer to an integer, you use the syntax 'int *ptr;'.",4
