question_text,correct_answer,answer_options,explanation,quiz_id
Which company developed JavaScript?,Netscape,"[""Netscape"", ""Microsoft"", ""Sun Microsystems"", ""Oracle""]",JavaScript was developed by Netscape Communications.,3
What is the correct syntax for referring to an external script called 'script.js'?,<script src='script.js'>,"[""<script href='script.js'>"", ""<script src='script.js'>"", ""<script ref='script.js'>"", ""<script name='script.js'>""]",The 'src' attribute is used to include an external script file.,3
How do you create a function in JavaScript?,function myFunction(),"[""function = myFunction()"", ""function myFunction()"", ""function:myFunction()"", ""createFunction myFunction()""]",Functions in JavaScript are created using the 'function' keyword followed by a name and parentheses.,3
Which built-in method combines the text of two strings and returns a new string?,concat(),"[""append()"", ""concat()"", ""attach()"", ""add()""]",The concat() method is used to join two or more strings in JavaScript.,3
How do you write an IF statement in JavaScript?,if (i == 5),"[""if i = 5 then"", ""if i == 5 then"", ""if (i == 5)"", ""if i = 5""]",The correct syntax for an IF statement in JavaScript involves using double equals for comparison and enclosing the condition in parentheses.,3
How does a WHILE loop start in JavaScript?,while (i <= 10),"[""while i = 1 to 10"", ""while (i <= 10)"", ""while (i <= 10; i++)"", ""while (i = 10)""]",A WHILE loop in JavaScript continues as long as the condition inside the parentheses is true.,3
Which of the following is a way to declare a variable in JavaScript?,var carName;,"[""v carName;"", ""var carName;"", ""variable carName;"", ""carName = variable;""]",Variables in JavaScript are declared using the 'var' keyword.,3
Which operator is used to assign a value to a variable in JavaScript?,=,"[""*"", ""="", ""-"", ""+""]",The equals sign '=' is used to assign values to variables in JavaScript.,3
What is the correct way to create a JavaScript array?,"var colors = ['red', 'green', 'blue']","[""var colors = 'red', 'green', 'blue'"", ""var colors = ['red', 'green', 'blue']"", ""var colors = (1:'red', 2:'green', 3:'blue')"", ""var colors = 1=('red'), 2=('green'), 3=('blue')""]","Arrays in JavaScript are created using square brackets, with elements separated by commas.",3
Which method is used to remove the last element from an array and return that element?,pop(),"[""last()"", ""get()"", ""pop()"", ""None of the above""]",The pop() method removes the last element from an array and returns it.,3
